Coin,classification,Total PnL,Average PnL,Number of Trades
@9,Extreme Greed,-58.56,-58.56,1
@93,Greed,15.95,15.95,1
@95,Extreme Greed,-29.44,-29.44,1
AAVE,Extreme Greed,9471.0,86.1,110
AAVE,Fear,3163.39,58.58,54
AAVE,Greed,478.61,11.67,41
AAVE,Neutral,-5627.99,-234.5,24
ACE,Extreme Greed,2760.71,120.03,23
ADA,Extreme Fear,-31317.99,-333.17,94
ADA,Extreme Greed,1465.56,12.01,122
ADA,Fear,1700.12,26.99,63
ADA,Greed,18.95,6.32,3
ADA,Neutral,19.9,3.98,5
AI,Extreme Greed,-1.64,-0.41,4
AI,Fear,37.27,2.48,15
AI,Greed,59.19,5.92,10
AI16Z,Extreme Fear,1782.01,198.0,9
AI16Z,Extreme Greed,2290.98,13.72,167
AI16Z,Fear,1957.79,108.77,18
AI16Z,Greed,3114.18,38.45,81
AI16Z,Neutral,-1120.62,-14.01,80
AIXBT,Extreme Greed,1261.51,14.34,88
AIXBT,Fear,10367.25,121.97,85
AIXBT,Greed,40092.55,226.51,177
AIXBT,Neutral,21990.87,152.71,144
ALGO,Extreme Greed,14.61,7.3,2
ALGO,Greed,-0.25,-0.25,1
ALGO,Neutral,4.01,4.01,1
ALT,Extreme Greed,708.65,18.17,39
ALT,Fear,1040.61,25.38,41
ALT,Greed,1797.45,34.57,52
ALT,Neutral,2323.99,47.43,49
ANIME,Extreme Fear,12.68,12.68,1
ANIME,Extreme Greed,21215.97,84.19,252
ANIME,Fear,47.25,9.45,5
ANIME,Greed,120.3,60.15,2
ANIME,Neutral,-78.93,-19.73,4
APE,Extreme Fear,7.76,2.59,3
APE,Extreme Greed,5772.69,56.6,102
APE,Fear,195.57,10.86,18
APE,Greed,3618.6,38.91,93
APE,Neutral,136.78,5.47,25
APT,Extreme Greed,247.04,24.7,10
APT,Fear,1496.44,71.26,21
APT,Neutral,5.71,5.71,1
AR,Extreme Greed,203.38,18.49,11
ARB,Extreme Fear,148.27,18.53,8
ARB,Extreme Greed,124.51,11.32,11
ARB,Fear,8768.02,4384.01,2
ARB,Greed,511.35,25.57,20
ARB,Neutral,82.44,16.49,5
ARK,Extreme Greed,26.14,6.53,4
ARK,Fear,27.15,1.36,20
ARK,Greed,-26.1,-13.05,2
ATOM,Extreme Greed,88.08,2.26,39
ATOM,Neutral,0.15,0.15,1
AVAX,Extreme Fear,433.64,18.85,23
AVAX,Extreme Greed,140.6,3.43,41
AVAX,Fear,186.45,15.54,12
AVAX,Greed,12096.55,1512.07,8
AVAX,Neutral,35440.07,1687.62,21
BABY,Fear,98.73,49.36,2
BADGER,Extreme Greed,0.31,0.31,1
BADGER,Greed,1439.42,19.99,72
BANANA,Greed,-81.49,-16.3,5
BERA,Extreme Fear,12090.9,134.34,90
BERA,Fear,-27.65,-0.26,105
BERA,Greed,83243.57,229.32,363
BERA,Neutral,-21617.08,-423.86,51
BIGTIME,Extreme Greed,1567.73,55.99,28
BIGTIME,Greed,272.01,38.86,7
BIGTIME,Neutral,-1.2,-1.2,1
BIO,Extreme Greed,19.87,6.62,3
BIO,Greed,1278.64,8.2,156
BLAST,Extreme Greed,495.33,29.14,17
BLAST,Greed,135.99,34.0,4
BLAST,Neutral,1.07,1.07,1
BLUR,Extreme Greed,236.56,7.89,30
BLUR,Fear,31.85,15.92,2
BLUR,Greed,3057.19,117.58,26
BLUR,Neutral,27.53,9.18,3
BNB,Extreme Fear,503.32,125.83,4
BNB,Extreme Greed,23.96,4.79,5
BNB,Fear,-737.08,-21.68,34
BNB,Greed,6.48,0.28,23
BNB,Neutral,506.52,36.18,14
BNT,Extreme Greed,-17.61,-2.52,7
BOME,Extreme Greed,21.37,21.37,1
BOME,Neutral,-9.12,-4.56,2
BRETT,Extreme Greed,949.79,9.05,105
BRETT,Greed,5.64,5.64,1
BRETT,Neutral,2.86,2.86,1
BTC,Extreme Fear,3056.84,4.58,667
BTC,Extreme Greed,100882.71,103.05,979
BTC,Fear,482649.64,111.16,4342
BTC,Greed,115475.19,35.98,3209
BTC,Neutral,165980.35,91.6,1812
CAKE,Extreme Greed,428.56,35.71,12
CAKE,Neutral,594.28,31.28,19
CANTO,Greed,-188.5,-37.7,5
CHILLGUY,Extreme Greed,4621.29,37.27,124
CHILLGUY,Fear,27.09,13.54,2
CHILLGUY,Greed,17.54,3.51,5
CHILLGUY,Neutral,61.87,15.47,4
COMP,Extreme Greed,1479.98,23.87,62
COMP,Fear,1334.41,333.6,4
CRV,Fear,-50.1,-0.86,58
CRV,Greed,-1199.62,-399.87,3
CYBER,Extreme Greed,191.53,191.53,1
DOGE,Extreme Greed,20799.02,72.22,288
DOGE,Fear,7907.37,1317.9,6
DOGE,Greed,3027.3,20.32,149
DOGE,Neutral,115809.47,7238.09,16
DOT,Extreme Greed,84.72,3.14,27
DOT,Greed,99.63,5.54,18
DOT,Neutral,9.13,4.57,2
DYDX,Extreme Greed,468.51,26.03,18
DYDX,Fear,50.09,8.35,6
DYDX,Greed,1.64,0.82,2
DYDX,Neutral,18.92,3.15,6
DYM,Extreme Greed,-255.95,-127.97,2
DYM,Greed,373.07,124.36,3
DYM,Neutral,5.77,2.88,2
EIGEN,Extreme Greed,296.15,12.88,23
EIGEN,Fear,13303.44,309.38,43
EIGEN,Greed,8947.75,357.91,25
EIGEN,Neutral,11.52,11.52,1
ENA,Extreme Fear,2286.63,326.66,7
ENA,Extreme Greed,25229.57,265.57,95
ENA,Fear,160316.23,1705.49,94
ENA,Greed,33865.08,282.21,120
ENA,Neutral,-4368.01,-273.0,16
ENS,Greed,-7.12,-3.56,2
ETC,Extreme Greed,166.72,83.36,2
ETC,Neutral,38.32,38.32,1
ETH,Extreme Fear,274320.23,349.9,784
ETH,Extreme Greed,-42016.07,-58.93,713
ETH,Fear,675064.58,472.73,1428
ETH,Greed,351036.01,225.46,1557
ETH,Neutral,61574.09,82.54,746
ETHFI,Fear,10801.34,276.96,39
ETHFI,Greed,30454.4,435.06,70
ETHFI,Neutral,2673.27,178.22,15
FARTCOIN,Extreme Fear,-138014.11,-419.5,329
FARTCOIN,Extreme Greed,8392.77,41.96,200
FARTCOIN,Fear,-10811.78,-24.97,433
FARTCOIN,Greed,41367.71,38.37,1078
FARTCOIN,Neutral,-1621.81,-13.08,124
